,jurisdiction_of_occurrence,mmwryear,mmwrweek,week_ending_date,all_cause,natural_cause,septicemia_a40_a41,malignant_neoplasms_c00_c97,diabetes_mellitus_e10_e14,alzheimer_disease_g30,influenza_and_pneumonia_j09_j18,chronic_lower_respiratory,other_diseases_of_respiratory,nephritis_nephrotic_syndrome,symptoms_signs_and_abnormal,diseases_of_heart_i00_i09,cerebrovascular_diseases,covid_19_u071_multiple_cause_of_death,covid_19_u071_underlying_cause_of_death,flag_otherresp,flag_otherunk,flag_nephr,flag_inflpn,flag_cov19mcod,flag_cov19ucod,flag_sept,flag_diab,flag_alz,flag_clrd,flag_stroke,flag_hd,flag_neopl,flag_allcause,flag_natcause
269,Arkansas,2019,36,9/7/2019,528.0,477.0,,94.0,19.0,21.0,,31.0,,,,152.0,23.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
270,Arkansas,2019,37,9/14/2019,638.0,590.0,11.0,151.0,12.0,32.0,10.0,39.0,,10.0,,171.0,30.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,,,
271,Arkansas,2019,38,9/21/2019,601.0,554.0,11.0,117.0,23.0,36.0,10.0,38.0,,17.0,,137.0,29.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,,,
272,Arkansas,2019,39,9/28/2019,598.0,539.0,,119.0,24.0,24.0,,45.0,,12.0,,138.0,31.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
273,Arkansas,2019,40,10/5/2019,564.0,516.0,11.0,116.0,19.0,25.0,,24.0,,19.0,,159.0,28.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,,,,,
274,Arkansas,2019,41,10/12/2019,590.0,555.0,10.0,130.0,20.0,32.0,,44.0,,11.0,,152.0,37.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,,,,,
275,Arkansas,2019,42,10/19/2019,610.0,567.0,,132.0,27.0,26.0,,45.0,,10.0,,157.0,26.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
276,Arkansas,2019,43,10/26/2019,618.0,574.0,11.0,130.0,20.0,37.0,15.0,38.0,12.0,15.0,,142.0,33.0,0.0,0.0,,Suppressed (counts 1-9),,,,,,,,,,,,,
277,Arkansas,2019,44,11/2/2019,595.0,560.0,,126.0,21.0,23.0,11.0,47.0,,14.0,,165.0,32.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,,,
278,Arkansas,2019,45,11/9/2019,632.0,590.0,12.0,120.0,21.0,37.0,10.0,34.0,,18.0,,166.0,25.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,,,
279,Arkansas,2019,46,11/16/2019,671.0,623.0,17.0,148.0,21.0,38.0,14.0,38.0,11.0,23.0,,167.0,32.0,0.0,0.0,,Suppressed (counts 1-9),,,,,,,,,,,,,
280,Arkansas,2019,47,11/23/2019,643.0,588.0,,119.0,19.0,37.0,14.0,39.0,,14.0,,158.0,36.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,,,
281,Arkansas,2019,48,11/30/2019,664.0,617.0,,132.0,36.0,33.0,13.0,43.0,,13.0,,148.0,41.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,,,
282,Arkansas,2019,49,12/7/2019,617.0,570.0,,100.0,22.0,32.0,13.0,47.0,12.0,12.0,,156.0,33.0,0.0,0.0,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,,,
283,Arkansas,2019,50,12/14/2019,660.0,610.0,11.0,130.0,24.0,37.0,,48.0,,12.0,,182.0,33.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,,,,,
284,Arkansas,2019,51,12/21/2019,613.0,566.0,,116.0,15.0,22.0,10.0,57.0,,10.0,,151.0,27.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,,,
285,Arkansas,2019,52,12/28/2019,706.0,653.0,11.0,118.0,24.0,36.0,11.0,60.0,12.0,,,191.0,28.0,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,,
286,Arkansas,2020,1,1/4/2020,673.0,631.0,17.0,114.0,25.0,38.0,18.0,62.0,,,,174.0,34.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,,
287,Arkansas,2020,2,1/11/2020,685.0,630.0,10.0,143.0,26.0,37.0,21.0,63.0,,13.0,,167.0,33.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,,,
288,Arkansas,2020,3,1/18/2020,657.0,609.0,11.0,123.0,24.0,33.0,20.0,44.0,10.0,15.0,,166.0,23.0,0.0,0.0,,Suppressed (counts 1-9),,,,,,,,,,,,,
289,Arkansas,2020,4,1/25/2020,617.0,577.0,,132.0,18.0,28.0,17.0,56.0,13.0,,,159.0,24.0,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
290,Arkansas,2020,5,2/1/2020,678.0,609.0,11.0,124.0,19.0,43.0,20.0,54.0,10.0,19.0,,150.0,24.0,0.0,0.0,,Suppressed (counts 1-9),,,,,,,,,,,,,
291,Arkansas,2020,6,2/8/2020,672.0,634.0,,134.0,16.0,48.0,21.0,59.0,,15.0,,170.0,26.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,,,
292,Arkansas,2020,7,2/15/2020,688.0,640.0,,121.0,26.0,33.0,20.0,56.0,12.0,11.0,,179.0,28.0,0.0,0.0,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,,,
293,Arkansas,2020,8,2/22/2020,695.0,651.0,17.0,133.0,27.0,55.0,19.0,49.0,10.0,15.0,,166.0,33.0,0.0,0.0,,Suppressed (counts 1-9),,,,,,,,,,,,,
294,Arkansas,2020,9,2/29/2020,656.0,618.0,15.0,138.0,33.0,29.0,,45.0,12.0,22.0,0.0,168.0,32.0,0.0,0.0,,,,Suppressed (counts 1-9),,,,,,,,,,,
295,Arkansas,2020,10,3/7/2020,695.0,629.0,12.0,133.0,19.0,45.0,24.0,63.0,10.0,14.0,,145.0,25.0,0.0,0.0,,Suppressed (counts 1-9),,,,,,,,,,,,,
296,Arkansas,2020,11,3/14/2020,627.0,573.0,13.0,116.0,24.0,28.0,13.0,46.0,,13.0,,151.0,41.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,,,
297,Arkansas,2020,12,3/21/2020,634.0,588.0,,119.0,18.0,29.0,23.0,50.0,13.0,14.0,,145.0,30.0,0.0,0.0,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,,,
298,Arkansas,2020,13,3/28/2020,638.0,590.0,,123.0,20.0,32.0,19.0,43.0,,21.0,,155.0,22.0,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,
299,Arkansas,2020,14,4/4/2020,607.0,563.0,,116.0,26.0,28.0,16.0,51.0,,12.0,,145.0,20.0,11.0,11.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,,,
300,Arkansas,2020,15,4/11/2020,633.0,589.0,,113.0,21.0,31.0,19.0,55.0,,20.0,,143.0,29.0,14.0,12.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,,,
301,Arkansas,2020,16,4/18/2020,634.0,572.0,10.0,115.0,11.0,38.0,10.0,38.0,,16.0,12.0,159.0,28.0,12.0,11.0,Suppressed (counts 1-9),,,,,,,,,,,,,,
302,Arkansas,2020,17,4/25/2020,609.0,564.0,,117.0,16.0,34.0,14.0,43.0,,16.0,10.0,127.0,33.0,13.0,11.0,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,,,
303,Arkansas,2020,18,5/2/2020,623.0,569.0,,110.0,23.0,29.0,10.0,48.0,12.0,18.0,17.0,129.0,35.0,21.0,17.0,,,,,,,Suppressed (counts 1-9),,,,,,,,
304,Arkansas,2020,19,5/9/2020,655.0,616.0,,122.0,29.0,32.0,10.0,55.0,,17.0,17.0,161.0,40.0,22.0,19.0,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,,,
305,Arkansas,2020,20,5/16/2020,575.0,534.0,,117.0,21.0,29.0,14.0,37.0,,15.0,15.0,140.0,26.0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,
306,Arkansas,2020,21,5/23/2020,633.0,583.0,,115.0,23.0,42.0,,50.0,11.0,,13.0,143.0,29.0,20.0,15.0,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
307,Arkansas,2020,22,5/30/2020,598.0,555.0,,118.0,31.0,31.0,,37.0,,12.0,15.0,149.0,23.0,18.0,14.0,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
308,Arkansas,2020,23,6/6/2020,625.0,570.0,12.0,126.0,23.0,28.0,,39.0,,10.0,17.0,155.0,23.0,25.0,18.0,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,,,,
309,Arkansas,2020,24,6/13/2020,612.0,555.0,,110.0,23.0,29.0,,37.0,,10.0,15.0,151.0,33.0,33.0,32.0,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
310,Arkansas,2020,25,6/20/2020,582.0,544.0,,95.0,25.0,31.0,,44.0,,21.0,15.0,131.0,39.0,33.0,28.0,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
311,Arkansas,2020,26,6/27/2020,317.0,298.0,,58.0,,13.0,,30.0,,,,74.0,16.0,15.0,14.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
312,California,2019,1,1/5/2019,5692.0,5233.0,24.0,1165.0,211.0,316.0,152.0,270.0,71.0,97.0,21.0,1425.0,339.0,0.0,0.0,,,,,,,,,,,,,,,
313,California,2019,2,1/12/2019,5780.0,5332.0,33.0,1177.0,224.0,384.0,189.0,308.0,67.0,73.0,19.0,1348.0,386.0,0.0,0.0,,,,,,,,,,,,,,,
314,California,2019,3,1/19/2019,5654.0,5256.0,41.0,1185.0,223.0,342.0,192.0,309.0,78.0,93.0,22.0,1296.0,357.0,0.0,0.0,,,,,,,,,,,,,,,
315,California,2019,4,1/26/2019,5519.0,5144.0,49.0,1165.0,215.0,341.0,131.0,295.0,74.0,72.0,31.0,1363.0,311.0,0.0,0.0,,,,,,,,,,,,,,,
316,California,2019,5,2/2/2019,5467.0,5044.0,30.0,1113.0,207.0,328.0,156.0,275.0,50.0,90.0,18.0,1344.0,321.0,0.0,0.0,,,,,,,,,,,,,,,
317,California,2019,6,2/9/2019,5603.0,5170.0,25.0,1181.0,200.0,339.0,132.0,320.0,74.0,78.0,20.0,1310.0,368.0,0.0,0.0,,,,,,,,,,,,,,,
318,California,2019,7,2/16/2019,5644.0,5223.0,31.0,1219.0,248.0,340.0,133.0,267.0,64.0,96.0,23.0,1380.0,357.0,0.0,0.0,,,,,,,,,,,,,,,
319,California,2019,8,2/23/2019,5818.0,5396.0,45.0,1226.0,201.0,380.0,180.0,303.0,59.0,81.0,20.0,1372.0,366.0,0.0,0.0,,,,,,,,,,,,,,,
320,California,2019,9,3/2/2019,5867.0,5438.0,43.0,1161.0,243.0,368.0,177.0,322.0,75.0,99.0,24.0,1459.0,347.0,0.0,0.0,,,,,,,,,,,,,,,
321,California,2019,10,3/9/2019,5677.0,5263.0,40.0,1169.0,201.0,310.0,146.0,304.0,74.0,107.0,34.0,1360.0,347.0,0.0,0.0,,,,,,,,,,,,,,,
322,California,2019,11,3/16/2019,5590.0,5184.0,36.0,1110.0,229.0,325.0,150.0,308.0,60.0,93.0,25.0,1386.0,324.0,0.0,0.0,,,,,,,,,,,,,,,
323,California,2019,12,3/23/2019,5531.0,5124.0,21.0,1145.0,199.0,358.0,170.0,302.0,72.0,72.0,16.0,1351.0,333.0,0.0,0.0,,,,,,,,,,,,,,,
324,California,2019,13,3/30/2019,5511.0,5122.0,43.0,1147.0,198.0,361.0,167.0,277.0,76.0,84.0,19.0,1350.0,354.0,0.0,0.0,,,,,,,,,,,,,,,
325,California,2019,14,4/6/2019,5480.0,5056.0,33.0,1192.0,212.0,337.0,140.0,320.0,48.0,75.0,27.0,1274.0,326.0,0.0,0.0,,,,,,,,,,,,,,,
326,California,2019,15,4/13/2019,5215.0,4802.0,48.0,1122.0,174.0,313.0,116.0,284.0,68.0,72.0,22.0,1219.0,360.0,0.0,0.0,,,,,,,,,,,,,,,
327,California,2019,16,4/20/2019,5200.0,4800.0,29.0,1164.0,195.0,319.0,109.0,263.0,66.0,59.0,26.0,1253.0,326.0,0.0,0.0,,,,,,,,,,,,,,,
328,California,2019,17,4/27/2019,5088.0,4647.0,27.0,1105.0,179.0,335.0,104.0,242.0,62.0,66.0,25.0,1185.0,292.0,0.0,0.0,,,,,,,,,,,,,,,
329,California,2019,18,5/4/2019,5029.0,4624.0,31.0,1120.0,175.0,280.0,105.0,259.0,59.0,84.0,26.0,1164.0,341.0,0.0,0.0,,,,,,,,,,,,,,,
330,California,2019,19,5/11/2019,5019.0,4635.0,33.0,1163.0,198.0,292.0,103.0,259.0,50.0,79.0,12.0,1145.0,324.0,0.0,0.0,,,,,,,,,,,,,,,
331,California,2019,20,5/18/2019,5062.0,4651.0,30.0,1126.0,188.0,309.0,104.0,237.0,65.0,77.0,28.0,1152.0,330.0,0.0,0.0,,,,,,,,,,,,,,,
332,California,2019,21,5/25/2019,5136.0,4738.0,30.0,1151.0,214.0,314.0,85.0,237.0,53.0,84.0,24.0,1172.0,329.0,0.0,0.0,,,,,,,,,,,,,,,
333,California,2019,22,6/1/2019,5033.0,4608.0,27.0,1149.0,165.0,321.0,88.0,236.0,55.0,84.0,26.0,1175.0,319.0,0.0,0.0,,,,,,,,,,,,,,,
334,California,2019,23,6/8/2019,5113.0,4662.0,26.0,1067.0,174.0,331.0,98.0,265.0,52.0,67.0,34.0,1204.0,316.0,0.0,0.0,,,,,,,,,,,,,,,
335,California,2019,24,6/15/2019,5183.0,4684.0,23.0,1159.0,200.0,328.0,97.0,261.0,59.0,87.0,30.0,1169.0,295.0,0.0,0.0,,,,,,,,,,,,,,,
336,California,2019,25,6/22/2019,4914.0,4469.0,30.0,1065.0,166.0,301.0,70.0,229.0,54.0,83.0,31.0,1146.0,302.0,0.0,0.0,,,,,,,,,,,,,,,
337,California,2019,26,6/29/2019,4849.0,4403.0,25.0,1135.0,162.0,273.0,103.0,221.0,48.0,76.0,29.0,1077.0,319.0,0.0,0.0,,,,,,,,,,,,,,,
338,California,2019,27,7/6/2019,4912.0,4460.0,27.0,1125.0,163.0,297.0,69.0,251.0,49.0,67.0,26.0,1141.0,279.0,0.0,0.0,,,,,,,,,,,,,,,
339,California,2019,28,7/13/2019,4819.0,4390.0,21.0,1098.0,147.0,277.0,93.0,233.0,41.0,76.0,23.0,1118.0,289.0,0.0,0.0,,,,,,,,,,,,,,,
340,California,2019,29,7/20/2019,4714.0,4311.0,25.0,1070.0,177.0,318.0,79.0,231.0,45.0,57.0,26.0,1035.0,300.0,0.0,0.0,,,,,,,,,,,,,,,
341,California,2019,30,7/27/2019,5001.0,4561.0,35.0,1228.0,182.0,322.0,97.0,194.0,49.0,69.0,35.0,1086.0,287.0,0.0,0.0,,,,,,,,,,,,,,,
342,California,2019,31,8/3/2019,4641.0,4195.0,29.0,1083.0,142.0,279.0,77.0,207.0,70.0,60.0,29.0,1041.0,279.0,0.0,0.0,,,,,,,,,,,,,,,
343,California,2019,32,8/10/2019,4763.0,4313.0,21.0,1132.0,168.0,260.0,76.0,200.0,63.0,71.0,28.0,1083.0,256.0,0.0,0.0,,,,,,,,,,,,,,,
344,California,2019,33,8/17/2019,4701.0,4259.0,28.0,1140.0,156.0,279.0,62.0,222.0,56.0,73.0,28.0,1027.0,287.0,0.0,0.0,,,,,,,,,,,,,,,
345,California,2019,34,8/24/2019,4765.0,4295.0,21.0,1154.0,180.0,288.0,65.0,179.0,55.0,67.0,30.0,1035.0,303.0,0.0,0.0,,,,,,,,,,,,,,,
346,California,2019,35,8/31/2019,4799.0,4367.0,35.0,1111.0,159.0,283.0,81.0,202.0,47.0,56.0,25.0,1154.0,278.0,0.0,0.0,,,,,,,,,,,,,,,
347,California,2019,36,9/7/2019,4846.0,4335.0,25.0,1141.0,158.0,313.0,71.0,209.0,39.0,70.0,26.0,1089.0,298.0,0.0,0.0,,,,,,,,,,,,,,,
348,California,2019,37,9/14/2019,4850.0,4442.0,27.0,1168.0,161.0,312.0,65.0,214.0,38.0,65.0,42.0,1086.0,302.0,0.0,0.0,,,,,,,,,,,,,,,
349,California,2019,38,9/21/2019,4813.0,4405.0,25.0,1146.0,149.0,312.0,73.0,193.0,60.0,65.0,26.0,1088.0,292.0,0.0,0.0,,,,,,,,,,,,,,,
350,California,2019,39,9/28/2019,4832.0,4426.0,28.0,1135.0,173.0,311.0,76.0,204.0,56.0,60.0,39.0,1077.0,314.0,0.0,0.0,,,,,,,,,,,,,,,
351,California,2019,40,10/5/2019,4966.0,4548.0,25.0,1165.0,164.0,310.0,66.0,224.0,67.0,79.0,29.0,1064.0,339.0,0.0,0.0,,,,,,,,,,,,,,,
352,California,2019,41,10/12/2019,4923.0,4502.0,33.0,1129.0,156.0,340.0,88.0,232.0,62.0,71.0,30.0,1077.0,296.0,0.0,0.0,,,,,,,,,,,,,,,
353,California,2019,42,10/19/2019,5065.0,4634.0,30.0,1163.0,179.0,327.0,90.0,232.0,59.0,78.0,32.0,1111.0,318.0,0.0,0.0,,,,,,,,,,,,,,,
354,California,2019,43,10/26/2019,5098.0,4659.0,24.0,1187.0,186.0,321.0,77.0,251.0,44.0,65.0,51.0,1149.0,326.0,0.0,0.0,,,,,,,,,,,,,,,
355,California,2019,44,11/2/2019,5134.0,4697.0,31.0,1189.0,198.0,298.0,82.0,250.0,68.0,76.0,32.0,1086.0,338.0,0.0,0.0,,,,,,,,,,,,,,,
356,California,2019,45,11/9/2019,5303.0,4884.0,36.0,1174.0,191.0,328.0,101.0,244.0,56.0,75.0,40.0,1137.0,341.0,0.0,0.0,,,,,,,,,,,,,,,
357,California,2019,46,11/16/2019,5123.0,4730.0,29.0,1081.0,196.0,343.0,84.0,244.0,48.0,80.0,33.0,1191.0,328.0,0.0,0.0,,,,,,,,,,,,,,,
358,California,2019,47,11/23/2019,5162.0,4708.0,40.0,1197.0,197.0,317.0,94.0,243.0,58.0,67.0,38.0,1102.0,340.0,0.0,0.0,,,,,,,,,,,,,,,
359,California,2019,48,11/30/2019,5181.0,4754.0,34.0,1140.0,190.0,350.0,89.0,229.0,54.0,71.0,34.0,1213.0,350.0,0.0,0.0,,,,,,,,,,,,,,,
360,California,2019,49,12/7/2019,5521.0,5070.0,40.0,1164.0,218.0,354.0,118.0,245.0,51.0,96.0,34.0,1292.0,358.0,0.0,0.0,,,,,,,,,,,,,,,
361,California,2019,50,12/14/2019,5376.0,4928.0,23.0,1136.0,216.0,359.0,108.0,263.0,64.0,82.0,30.0,1208.0,357.0,0.0,0.0,,,,,,,,,,,,,,,
362,California,2019,51,12/21/2019,5398.0,4977.0,27.0,1154.0,186.0,345.0,115.0,258.0,59.0,75.0,39.0,1296.0,352.0,0.0,0.0,,,,,,,,,,,,,,,
363,California,2019,52,12/28/2019,5567.0,5155.0,41.0,1139.0,226.0,390.0,132.0,272.0,73.0,92.0,51.0,1339.0,321.0,0.0,0.0,,,,,,,,,,,,,,,
364,California,2020,1,1/4/2020,5887.0,5446.0,34.0,1201.0,237.0,386.0,187.0,274.0,80.0,97.0,41.0,1387.0,377.0,0.0,0.0,,,,,,,,,,,,,,,
365,California,2020,2,1/11/2020,5865.0,5430.0,38.0,1167.0,241.0,379.0,163.0,285.0,86.0,102.0,72.0,1372.0,358.0,0.0,0.0,,,,,,,,,,,,,,,
366,California,2020,3,1/18/2020,5825.0,5397.0,40.0,1126.0,207.0,345.0,215.0,312.0,81.0,94.0,64.0,1381.0,402.0,0.0,0.0,,,,,,,,,,,,,,,
367,California,2020,4,1/25/2020,5824.0,5393.0,38.0,1191.0,230.0,380.0,188.0,279.0,79.0,90.0,62.0,1355.0,376.0,0.0,0.0,,,,,,,,,,,,,,,
368,California,2020,5,2/1/2020,5677.0,5293.0,35.0,1234.0,204.0,336.0,172.0,284.0,81.0,93.0,65.0,1337.0,344.0,0.0,0.0,,,,,,,,,,,,,,,
369,California,2020,6,2/8/2020,5905.0,5475.0,45.0,1173.0,225.0,402.0,188.0,325.0,72.0,111.0,62.0,1372.0,341.0,,0.0,,,,,Suppressed (counts 1-9),,,,,,,,,,
370,California,2020,7,2/15/2020,5580.0,5188.0,34.0,1176.0,213.0,375.0,187.0,296.0,43.0,100.0,84.0,1326.0,316.0,0.0,0.0,,,,,,,,,,,,,,,
371,California,2020,8,2/22/2020,5795.0,5381.0,38.0,1107.0,223.0,376.0,189.0,315.0,73.0,101.0,79.0,1329.0,344.0,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,
372,California,2020,9,2/29/2020,5674.0,5250.0,32.0,1178.0,191.0,330.0,176.0,314.0,70.0,91.0,75.0,1300.0,327.0,0.0,0.0,,,,,,,,,,,,,,,
373,California,2020,10,3/7/2020,5722.0,5306.0,33.0,1171.0,213.0,352.0,197.0,297.0,70.0,91.0,86.0,1284.0,351.0,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,
374,California,2020,11,3/14/2020,5454.0,5063.0,30.0,1127.0,192.0,350.0,168.0,289.0,60.0,84.0,111.0,1279.0,344.0,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,
375,California,2020,12,3/21/2020,5666.0,5287.0,41.0,1231.0,209.0,346.0,199.0,282.0,78.0,97.0,111.0,1219.0,337.0,44.0,41.0,,,,,,,,,,,,,,,
376,California,2020,13,3/28/2020,5676.0,5326.0,30.0,1173.0,214.0,358.0,180.0,293.0,57.0,78.0,114.0,1277.0,320.0,125.0,120.0,,,,,,,,,,,,,,,
377,California,2020,14,4/4/2020,5959.0,5592.0,44.0,1185.0,233.0,359.0,166.0,289.0,60.0,92.0,112.0,1253.0,391.0,284.0,267.0,,,,,,,,,,,,,,,
378,California,2020,15,4/11/2020,6022.0,5657.0,33.0,1169.0,228.0,417.0,126.0,290.0,61.0,107.0,154.0,1283.0,349.0,375.0,362.0,,,,,,,,,,,,,,,
379,California,2020,16,4/18/2020,6100.0,5761.0,29.0,1130.0,256.0,348.0,125.0,277.0,60.0,92.0,177.0,1261.0,343.0,521.0,503.0,,,,,,,,,,,,,,,
380,California,2020,17,4/25/2020,5856.0,5503.0,26.0,1099.0,189.0,367.0,120.0,261.0,50.0,66.0,191.0,1271.0,326.0,471.0,453.0,,,,,,,,,,,,,,,
381,California,2020,18,5/2/2020,5686.0,5341.0,33.0,1096.0,205.0,397.0,88.0,264.0,52.0,69.0,205.0,1149.0,314.0,513.0,493.0,,,,,,,,,,,,,,,
382,California,2020,19,5/9/2020,5627.0,5298.0,34.0,1098.0,206.0,357.0,82.0,255.0,49.0,58.0,235.0,1175.0,276.0,540.0,508.0,,,,,,,,,,,,,,,
383,California,2020,20,5/16/2020,5645.0,5347.0,27.0,1170.0,182.0,313.0,79.0,238.0,52.0,76.0,287.0,1159.0,326.0,491.0,467.0,,,,,,,,,,,,,,,
384,California,2020,21,5/23/2020,5470.0,5178.0,30.0,1040.0,193.0,332.0,75.0,217.0,54.0,81.0,302.0,1150.0,294.0,471.0,450.0,,,,,,,,,,,,,,,
385,California,2020,22,5/30/2020,5493.0,5216.0,20.0,1114.0,205.0,299.0,97.0,230.0,41.0,66.0,310.0,1156.0,339.0,437.0,415.0,,,,,,,,,,,,,,,
386,California,2020,23,6/6/2020,5343.0,5092.0,35.0,1069.0,178.0,319.0,83.0,200.0,46.0,61.0,348.0,1093.0,314.0,406.0,384.0,,,,,,,,,,,,,,,
387,California,2020,24,6/13/2020,5237.0,4960.0,25.0,1080.0,171.0,332.0,77.0,204.0,44.0,66.0,331.0,1011.0,304.0,384.0,353.0,,,,,,,,,,,,,,,
388,California,2020,25,6/20/2020,4487.0,4314.0,19.0,905.0,173.0,328.0,70.0,181.0,43.0,65.0,283.0,920.0,284.0,250.0,229.0,,,,,,,,,,,,,,,
389,California,2020,26,6/27/2020,3127.0,3057.0,,693.0,126.0,237.0,47.0,147.0,18.0,51.0,257.0,648.0,201.0,85.0,82.0,,,,,,,Suppressed (counts 1-9),,,,,,,,
390,Colorado,2019,1,1/5/2019,836.0,744.0,11.0,172.0,22.0,40.0,17.0,42.0,17.0,12.0,,190.0,50.0,0.0,0.0,,Suppressed (counts 1-9),,,,,,,,,,,,,
391,Colorado,2019,2,1/12/2019,831.0,744.0,13.0,150.0,20.0,37.0,17.0,57.0,,14.0,,180.0,44.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,,,
392,Colorado,2019,3,1/19/2019,827.0,718.0,11.0,149.0,21.0,44.0,11.0,57.0,12.0,14.0,,176.0,36.0,0.0,0.0,,Suppressed (counts 1-9),,,,,,,,,,,,,
393,Colorado,2019,4,1/26/2019,768.0,691.0,11.0,152.0,30.0,39.0,12.0,54.0,16.0,,,151.0,48.0,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,,
394,Colorado,2019,5,2/2/2019,783.0,698.0,11.0,162.0,23.0,42.0,15.0,55.0,15.0,10.0,,144.0,40.0,0.0,0.0,,Suppressed (counts 1-9),,,,,,,,,,,,,
395,Colorado,2019,6,2/9/2019,794.0,700.0,,166.0,29.0,45.0,18.0,44.0,,15.0,,160.0,31.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,,,
396,Colorado,2019,7,2/16/2019,853.0,752.0,15.0,157.0,22.0,31.0,21.0,57.0,17.0,19.0,,176.0,39.0,0.0,0.0,,Suppressed (counts 1-9),,,,,,,,,,,,,
397,Colorado,2019,8,2/23/2019,810.0,719.0,,141.0,27.0,32.0,23.0,56.0,14.0,,,166.0,41.0,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
398,Colorado,2019,9,3/2/2019,812.0,732.0,,175.0,23.0,33.0,,57.0,20.0,10.0,,153.0,47.0,0.0,0.0,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
399,Colorado,2019,10,3/9/2019,840.0,754.0,10.0,156.0,22.0,36.0,22.0,61.0,13.0,12.0,,180.0,39.0,0.0,0.0,,Suppressed (counts 1-9),,,,,,,,,,,,,
