,jurisdiction_of_occurrence,mmwryear,mmwrweek,week_ending_date,all_cause,natural_cause,septicemia_a40_a41,malignant_neoplasms_c00_c97,diabetes_mellitus_e10_e14,alzheimer_disease_g30,influenza_and_pneumonia_j09_j18,chronic_lower_respiratory,other_diseases_of_respiratory,nephritis_nephrotic_syndrome,symptoms_signs_and_abnormal,diseases_of_heart_i00_i09,cerebrovascular_diseases,covid_19_u071_multiple_cause_of_death,covid_19_u071_underlying_cause_of_death,flag_otherresp,flag_otherunk,flag_nephr,flag_inflpn,flag_cov19mcod,flag_cov19ucod,flag_sept,flag_diab,flag_alz,flag_clrd,flag_stroke,flag_hd,flag_neopl,flag_allcause,flag_natcause
954,Idaho,2019,19,5/11/2019,274.0,250.0,,52.0,,10.0,,17.0,,,,66.0,13.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
955,Idaho,2019,20,5/18/2019,277.0,244.0,,62.0,,11.0,,21.0,,,,60.0,15.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
956,Idaho,2019,21,5/25/2019,287.0,260.0,,75.0,10.0,12.0,,21.0,,,,59.0,14.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
957,Idaho,2019,22,6/1/2019,290.0,266.0,,56.0,12.0,10.0,,20.0,10.0,,,71.0,,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
958,Idaho,2019,23,6/8/2019,285.0,254.0,,56.0,13.0,12.0,,22.0,,,,55.0,12.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
959,Idaho,2019,24,6/15/2019,279.0,258.0,0.0,59.0,12.0,,,18.0,,,,73.0,15.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,
960,Idaho,2019,25,6/22/2019,271.0,240.0,,48.0,,13.0,,19.0,,,,52.0,11.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
961,Idaho,2019,26,6/29/2019,271.0,241.0,,55.0,,12.0,,21.0,,,0.0,55.0,12.0,0.0,0.0,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
962,Idaho,2019,27,7/6/2019,258.0,220.0,,46.0,,12.0,0.0,15.0,,,,57.0,11.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
963,Idaho,2019,28,7/13/2019,244.0,210.0,,39.0,,12.0,,16.0,,,,40.0,16.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
